1980-12-17,Pan American Aviation Day,Observance
1980-12-17,Wright Brothers Day,Observance
1980-12-18,International Migrants Day,United Nations observance
1980-12-18,Arabic Language Day,United Nations observance
1980-12-20,International Human Solidarity Day,United Nations observance
1980-12-22,December Solstice,Season
1980-12-24,The Prophet's Birthday,Muslim
1980-12-24,Christmas Eve,State holiday
1980-12-24,Christmas Eve,Cristian Observance
1980-12-24,Washington's Birthday,State holiday
1980-12-25,Christmas Day,National holiday
1980-12-26,Kwanzaa (until Jan 1),Observance
1980-12-26,Day After Christmas Day,Observance
1980-12-26,Day After Christmas Day,State holiday
1980-12-31,New Year's Eve,Observance
1980-12-31,New Year's Eve,State holiday
1981-01-01,New Year's Day,National holiday
1981-01-03,The Prophet's Birthday,Muslim
1981-01-04,World Braille Day,Worldwide observance
1981-01-06,Epiphany,Christian
1981-01-07,Orthodox Christmas Day,Orthodox
1981-01-07,International Programmers' Day,Worldwide observance
1981-01-13,Stephen Foster Memorial Day,Observance
1981-01-14,Orthodox New Year,Orthodox
1981-01-16,Lee Jackson Day,State holiday
1981-01-18,World Religion Day,Worldwide observance
1981-01-19,Martin Luther King Day,National holiday
1981-01-19,Robert E Lee's Birthday,State holiday
1981-01-19,Robert E Lee's Birthday,State holiday
1981-01-19,Confederate Memorial Day,State holiday
1981-01-19,Idaho Human Rights Day,State holiday
1981-01-19,Civil Rights Day,State holiday
1981-01-25,World Leprosy Day,Worldwide observance
1981-01-26,International Customs Day,Worldwide observance
1981-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance
1981-01-27,e-Day,Worldwide observance
1981-01-29,Kansas Day,Observance
1981-02-01,National Freedom Day,Observance
1981-02-02,World Wetlands Day,Worldwide observance
1981-02-02,Groundhog Day,Observance
1981-02-04,Tu Bishvat/Tu B'Shevat,Jewish holiday
1981-02-04,World Cancer Day,United Nations observance
1981-02-04,Rosa Parks Day,Local observance
1981-02-06,International Day of Zero Tolerance to Female Genital Mutilation,United Nations observance
1981-02-06,National Wear Red Day,Observance
1981-02-07,e-Day,Worldwide observance
1981-02-11,World Day of the Sick,Worldwide observance
1981-02-12,Lincoln's Birthday,State holiday
1981-02-12,Lincoln's Birthday,Local observance
1981-02-13,World Radio Day,United Nations observance
1981-02-13,Friday the 13th,Worldwide observance
1981-02-14,Valentine's Day,Observance
1981-02-15,Susan B Anthony's Birthday,Local observance
1981-02-16,Presidents' Day (Washington's Birthday),National holiday
1981-02-16,Daisy Gatson Bates Day,State holiday
1981-02-17,Shrove Tuesday/Mardi Gras,Local observance
1981-02-17,Shrove Tuesday/Mardi Gras,State holiday
1981-02-17,Shrove Tuesday/Mardi Gras,Observance
1981-02-18,Ash Wednesday,Christian
1981-02-19,Chinese New Year,Observance
1981-02-20,World Day of Social Justice,United Nations observance
1981-02-21,International Mother Language Day,United Nations observance
1981-02-28,Linus Pauling Day,Local observance
1981-03-01,Zero Discrimination Day,United Nations observance
1981-03-01,Self-injury Awareness Day,Worldwide observance
1981-03-01,St. David's Day,Observance
1981-03-02,Texas Independence Day,State holiday
1981-03-02,Casimir Pulaski Day,State holiday
1981-03-02,Read Across America Day,Observance
1981-03-03,World Wildlife Day,United Nations observance
1981-03-03,Town Meeting Day Vermont,State holiday
1981-03-05,Purim,Jewish holiday
1981-03-06,Employee Appreciation Day,Observance
1981-03-08,Daylight Saving Time starts,Clock change/Daylight Saving Time
1981-03-08,International Women's Day,United Nations observance
1981-03-12,World Kidney Day,Worldwide observance
1981-03-13,Friday the 13th,Worldwide observance
1981-03-14,Pi Day,Worldwide observance
1981-03-17,St. Patrick's Day,Observance
1981-03-17,Evacuation Day,State holiday
1981-03-20,March equinox,Season
1981-03-20,International Day of Happiness,United Nations observance
1981-03-21,International Day for the Elimination of Racial Discrimination,United Nations observance
1981-03-21,World Poetry Day,United Nations observance
1981-03-21,International Day of Nowruz,United Nations observance
1981-03-21,World Down Syndrome Day,United Nations observance
1981-03-21,International Day of Forests,United Nations observance
1981-03-22,World Water Day,United Nations observance
1981-03-23,World Meteorological Day,United Nations observance
1981-03-24,World Tuberculosis Day,United Nations observance
1981-03-24,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance
1981-03-25,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance
1981-03-25,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance
1981-03-25,Maryland Day,Local observance
1981-03-26,Prince Jonah Kuhio Kalanianaole Day,State holiday
1981-03-28,Earth Hour,Worldwide observance
1981-03-29,Palm Sunday,Christian
1981-03-30,Seward's Day,State holiday
1981-03-31,César Chávez Day,State holiday
1981-04-01,April Fool's Day,Worldwide observance
1981-04-02,Maundy Thursday,Christian
1981-04-02,World Autism Awareness Day,United Nations observance
1981-04-02,Pascua Florida Day,Local observance
1981-04-03,Good Friday,State holiday
1981-04-04,Holy Saturday,Christian
1981-04-04,Passover (first day),Jewish holiday
1981-04-04,United Nations' Mine Awareness Day,United Nations observance
1981-04-05,Easter Sunday,Cristian Observance
1981-04-06,International Day of Sport for Development and Peace,United Nations observance
1981-04-06,Easter Monday,Christian
1981-04-06,National Tartan Day,Observance
1981-04-07,United Nations' World Health Day,United Nations observance
1981-04-07,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance
1981-04-10,Orthodox Good Friday,Orthodox
1981-04-11,Last Day of Passover,Jewish holiday
1981-04-11,Orthodox Holy Saturday,Orthodox
1981-04-12,Orthodox Easter,Orthodox
1981-04-12,International Day of Human Space Flight,United Nations observance
1981-04-13,Orthodox Easter Monday,Orthodox
1981-04-13,Thomas Jefferson's Birthday,Observance
1981-04-15,Yom HaShoah,Jewish holiday
1981-04-15,Tax Day,Observance
1981-04-15,Father Damien Day,Local observance
1981-04-16,Emancipation Day,State holiday
1981-04-17,Global Youth Service Day,Worldwide observance
1981-04-18,International Day for Monuments and Sites,Worldwide observance
1981-04-20,Chinese Language Day,United Nations observance
1981-04-20,Patriot's Day,State holiday
1981-04-21,San Jacinto Day,State holiday
1981-04-21,National Library Workers' Day,Observance
1981-04-22,Earth Day,Worldwide observance
1981-04-22,Oklahoma Day,Local observance
1981-04-22,Administrative Professionals Day,Observance
1981-04-23,Yom Ha'atzmaut,Jewish holiday
1981-04-23,World Book and Copyright Day,United Nations observance
1981-04-23,English Language Day,United Nations observance
1981-04-23,Take our Daughters and Sons to Work Day,Observance
1981-04-24,Arbor Day,State holiday
1981-04-25,World Malaria Day,United Nations observance
1981-04-26,World Intellectual Property Day,United Nations observance
1981-04-26,Confederate Memorial Day,Local observance
1981-04-27,Confederate Memorial Day,State holiday
1981-04-27,Confederate Memorial Day,State holiday
1981-04-28,World Day for Safety and Health at Work,United Nations observance
1981-04-29,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance
1981-04-30,International Jazz Day,United Nations observance
1981-05-01,Law Day,Observance
1981-05-01,Loyalty Day,Observance
1981-05-02,National Explosive Ordnance Disposal (EOD) Day,Observance
1981-05-03,World Press Freedom Day,United Nations observance
1981-05-04,Rhode Island Independence Day,Local observance
1981-05-05,Cinco de Mayo,Observance
1981-05-05,Primary Election Day Indiana,State holiday
1981-05-06,National Nurses Day,Observance
1981-05-07,Lag BaOmer,Jewish holiday
1981-05-07,National Day of Prayer,Observance
1981-05-08,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance
1981-05-08,World Ovarian Cancer Day,Worldwide observance
1981-05-08,Truman Day,State holiday
1981-05-09,World Migratory Bird Day,United Nations observance
1981-05-10,Mothers' Day,Observance
1981-05-10,Confederate Memorial Day,Local observance
1981-05-10,Confederate Memorial Day,State holiday
1981-05-11,Confederate Memorial Day observed,State holiday
1981-05-14,Ascension Day,Christian
1981-05-15,International Day of Families,United Nations observance
1981-05-15,Peace Officers Memorial Day,Observance
1981-05-15,National Defense Transportation Day,Observance
1981-05-16,Isra and Mi'raj,Muslim
1981-05-16,Armed Forces Day,Observance
1981-05-17,World Information Society Day,United Nations observance
1981-05-20,World Autoimmune Arthritis Day,Worldwide observance
1981-05-20,Emergency Medical Services for Children Day,Observance
1981-05-21,World Day for Cultural Diversity for Dialogue and Development,United Nations observance
1981-05-22,International Day for Biological Diversity,United Nations observance
1981-05-22,National Maritime Day,Observance
1981-05-22,Harvey Milk Day,Local observance
1981-05-23,International Day to End Obstetric Fistula,United Nations observance
1981-05-24,Pentecost,Christian
1981-05-24,Shavuot,Jewish holiday
1981-05-25,Whit Monday,Christian
1981-05-25,African Liberation Day,Worldwide observance
1981-05-25,Towel Day,Worldwide observance
1981-05-25,Memorial Day,National holiday
1981-05-25,Jefferson Davis Birthday,Local observance
